date,state,death,deathIncrease,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCurrently,negative,negativeIncrease,positive,positiveCasesViral,positiveIncrease,positiveScore,recovered,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
2021-03-06,ND,1478.0,0,3878.0,3878.0,21.0,3,3.0,306021.0,111,100357.0,94906.0,79,0,98240.0,1930,1424467.0,1930,190,1535606.0,2599
2021-03-06,NE,2113.0,1,6229.0,6229.0,136.0,3,,770586.0,1354,202653.0,,343,0,156825.0,0,2421683.0,10138,1701,2421683.0,10138
2021-03-06,NH,1181.0,3,1127.0,1127.0,90.0,1,,579186.0,1496,76695.0,53939.0,273,0,73327.0,0,1481488.0,0,1680,1481488.0,0
2021-03-06,NJ,23557.0,36,64338.0,64338.0,1862.0,-916,382.0,10186941.0,0,810090.0,718873.0,3720,0,,0,10997031.0,3720,0,10902830.0,0
2021-03-06,NM,3796.0,9,13242.0,13242.0,148.0,13,,,0,186742.0,,282,0,155000.0,0,2771840.0,13846,0,2771840.0,13846
2021-03-06,NV,5036.0,16,,,399.0,0,87.0,1129929.0,2551,295460.0,295960.0,0,0,,9659,2763991.0,9659,3051,,0
2021-03-06,NY,38970.0,79,,,4954.0,0,1012.0,,0,1674380.0,,7647,0,,273132,39467332.0,273132,0,,0
2021-03-06,OH,17656.0,0,50848.0,50848.0,922.0,66,273.0,,0,977736.0,835856.0,1506,0,923986.0,0,10227868.0,40190,0,10227868.0,40190
2021-03-06,OK,4534.0,0,24277.0,24277.0,346.0,120,100.0,3146300.0,11240,428536.0,,978,0,411624.0,0,3574836.0,12218,0,3548479.0,11750
2021-03-06,OR,2293.0,9,8714.0,8714.0,158.0,15,32.0,,0,156884.0,,211,0,,0,3850973.0,52906,0,3850973.0,52906
2021-03-06,PA,24317.0,55,,,1513.0,0,314.0,3935532.0,9494,946985.0,813059.0,2789,0,859218.0,0,10629284.0,0,11534,,0
2021-03-06,PR,2059.0,3,,,147.0,0,24.0,305972.0,0,101327.0,93336.0,261,0,91987.0,0,407299.0,261,0,415664.0,0
2021-03-06,RI,2547.0,6,9020.0,9020.0,141.0,0,25.0,676149.0,1634,128516.0,,395,0,,21854,3109835.0,21854,2029,,0
2021-03-06,SC,8719.0,20,20659.0,20659.0,623.0,54,157.0,4631323.0,27774,524457.0,449151.0,1199,0,218863.0,0,5155780.0,28973,0,5080874.0,29050
2021-03-06,SD,1898.0,2,6692.0,6692.0,74.0,11,10.0,314016.0,756,113378.0,100533.0,149,0,109371.0,0,700649.0,2193,905,700649.0,2193
2021-03-06,TN,11543.0,9,18870.0,18870.0,879.0,33,223.0,,0,782206.0,653905.0,1312,0,756793.0,0,6872745.0,16164,0,6872745.0,16164
2021-03-06,TX,44367.0,233,,,4921.0,0,1503.0,,0,2683865.0,2318522.0,5570,0,2491753.0,0,19831344.0,11292,0,19831344.0,11292
2021-03-06,UT,1975.0,5,14867.0,14867.0,216.0,26,77.0,1557089.0,3556,374438.0,,570,0,358249.0,0,2903293.0,8211,3904,2903293.0,8211
2021-03-06,VA,9519.0,91,24637.0,24637.0,1164.0,123,263.0,,0,584537.0,460273.0,1477,0,,21456,6018284.0,21456,0,,0
2021-03-06,VI,25.0,0,,,,0,,46167.0,0,2714.0,,0,0,2559.0,0,48881.0,0,0,,0
2021-03-06,VT,208.0,1,,,26.0,0,2.0,319417.0,697,15964.0,15519.0,145,0,13305.0,0,1115467.0,8171,840,1115467.0,8171
2021-03-06,WA,5041.0,9,19556.0,19556.0,431.0,56,98.0,,0,343868.0,324469.0,778,0,,25314,5369716.0,25314,0,,0
2021-03-06,WI,7102.0,8,26432.0,26432.0,260.0,45,77.0,2644343.0,2161,621277.0,566364.0,614,0,552642.0,24321,7061402.0,24321,2367,,0
2021-03-06,WV,2323.0,5,,,196.0,0,56.0,,0,133290.0,106513.0,326,0,124983.0,0,2230102.0,11614,0,2230102.0,11614
2021-03-06,WY,682.0,0,1391.0,1391.0,21.0,0,,182264.0,0,54764.0,46397.0,0,0,53550.0,0,649293.0,0,0,649293.0,0
2021-03-05,AK,305.0,2,1293.0,1293.0,33.0,3,,,0,56886.0,,141,0,,0,1731628.0,7144,0,1731628.0,7144
2021-03-05,AL,10122.0,28,45976.0,45976.0,526.0,169,,1924758.0,4223,498887.0,391369.0,811,0,295690.0,0,2316127.0,4920,4920,,0
2021-03-05,AR,5283.0,10,14903.0,14903.0,359.0,27,153.0,2472738.0,8452,324326.0,255365.0,570,0,314732.0,0,2728103.0,8874,0,2728103.0,8874
2021-03-05,AS,0.0,0,,,,0,,2140.0,0,0.0,0.0,0,0,,0,2140.0,0,0,2140.0,0
2021-03-05,AZ,16269.0,84,57819.0,57819.0,1043.0,72,325.0,3050890.0,18778,823384.0,767560.0,2276,0,,0,7827570.0,51727,20834,7827570.0,51727
2021-03-05,CA,53448.0,400,,,4714.0,0,1236.0,,0,3493126.0,3493126.0,4659,0,,0,49294503.0,146818,0,49294503.0,146818
2021-03-05,CO,5986.0,12,23863.0,23863.0,356.0,72,,2193953.0,5212,434654.0,410054.0,1633,0,,33127,6343360.0,33127,6312,,0
2021-03-05,CT,7704.0,11,,,428.0,0,,,0,285330.0,265709.0,830,0,,0,6520366.0,41868,0,6520366.0,41868
2021-03-05,DC,1027.0,3,,,160.0,0,45.0,,0,41122.0,,108,0,29417.0,5821,1247637.0,5821,1038,,0
2021-03-05,DE,1453.0,9,,,127.0,0,15.0,542791.0,1020,87874.0,83187.0,231,0,,3678,1417318.0,3678,1251,,0
2021-03-05,FL,32093.0,138,81902.0,81902.0,3419.0,302,,9296590.0,26910,1900598.0,1542400.0,5876,0,,106925,22186763.0,106925,32786,19371172.0,77877
2021-03-05,GA,17815.0,65,56627.0,56627.0,2099.0,115,,,0,1019509.0,826117.0,2081,0,,0,7315477.0,35861,0,7315477.0,35861
2021-03-05,GU,133.0,2,,,2.0,0,1.0,112887.0,538,7748.0,7539.0,1,0,7590.0,0,120635.0,539,0,120426.0,539
2021-03-05,HI,443.0,2,2225.0,2225.0,28.0,0,5.0,,0,28561.0,27753.0,95,0,,5302,1136395.0,5302,0,,0
2021-03-05,IA,5549.0,13,,,176.0,0,39.0,1041604.0,1549,281765.0,281765.0,374,0,318996.0,0,1323369.0,1923,1924,2742341.0,7564
2021-03-05,ID,1876.0,0,7164.0,7164.0,139.0,20,32.0,504925.0,1234,172587.0,139871.0,299,0,95524.0,0,644796.0,1438,1438,1100276.0,3452
2021-03-05,IL,22946.0,44,,,1166.0,0,263.0,,0,1194702.0,,1442,0,,0,18492848.0,103336,0,18492848.0,103336
2021-03-05,IN,12697.0,34,43104.0,43104.0,730.0,60,123.0,2473358.0,4481,665285.0,,839,0,,0,8171222.0,37626,5320,8171222.0,37626
2021-03-05,KS,4812.0,-4,9387.0,9387.0,235.0,32,50.0,974686.0,5035,295861.0,,752,0,,0,1270547.0,5787,5787,2525259.0,21021
2021-03-05,KY,4754.0,22,19380.0,19380.0,606.0,16,179.0,,0,409345.0,313491.0,905,0,48038.0,0,3969899.0,15260,0,3969899.0,15260
2021-03-05,LA,9716.0,30,,,538.0,0,,5241101.0,18643,433045.0,371994.0,518,0,415954.0,0,5674146.0,19161,0,5613095.0,19007
2021-03-05,MA,16322.0,26,19713.0,19713.0,716.0,0,180.0,4388938.0,8907,588209.0,556307.0,1899,0,508745.0,0,16628614.0,106263,10584,16628614.0,106263
2021-03-05,MD,7930.0,8,35378.0,35378.0,849.0,74,229.0,3024949.0,6829,385678.0,385678.0,913,0,9701.0,0,8024078.0,41728,7742,8024078.0,41728
2021-03-05,ME,704.0,-1,1560.0,1560.0,74.0,11,27.0,,0,45452.0,35636.0,225,0,12833.0,0,1644587.0,11279,0,1644587.0,11279
2021-03-05,MI,16601.0,12,,,866.0,0,222.0,,0,654380.0,594765.0,1791,0,541258.0,0,10584735.0,46112,0,10584735.0,46112
2021-03-05,MN,6534.0,13,25938.0,25938.0,224.0,42,57.0,3043308.0,7310,488170.0,463969.0,796,0,474175.0,34207,7058033.0,34207,7978,,0
2021-03-05,MO,8158.0,8,,,1019.0,0,202.0,1872325.0,3724,479966.0,479966.0,430,0,,0,4541067.0,16593,4154,4541067.0,16593
2021-03-05,MP,2.0,0,4.0,4.0,,0,,17429.0,0,144.0,144.0,0,0,29.0,0,17573.0,0,0,26131.0,0
2021-03-05,MS,6783.0,19,9162.0,9162.0,445.0,0,99.0,1459374.0,0,296745.0,183930.0,591,0,278162.0,0,1756119.0,591,0,1642348.0,0
2021-03-05,MT,1379.0,4,4610.0,4610.0,67.0,2,12.0,,0,100656.0,95509.0,125,0,97541.0,0,1096913.0,5391,0,1096913.0,5391
2021-03-05,NC,11446.0,47,,,1226.0,0,314.0,,0,870149.0,758115.0,2093,0,,0,9650184.0,44487,0,9650184.0,44487
